acronym,meaning
ADCP,Acoustic Doppler Current Profiler
AMV,atmospheric motion vector
AOT,aerosol optical thickness
APSP,aerosol particle size parameter
BGAN,Broadband Global Area Network
BIPM,Bureau International de Poids et Mesures
DORIS,Doppler orbitography and radio-positioning integrated by Satellite
DSR,data set record
DU,Dobson Unit
EDR,eddy dissipation rate
GAN,global area network
GHRSST,GODAE high-resolution sea-surface temperature
GNSS,global navigation satellite system
GRP,Glass-reinforced plastic
GRUAN,GCOS Reference Upper-Air Network
GTSPP,Global Temperature Salinity Profile Programme
HPA,high power amplifier
IFOV,instantaneous field of view
IW,infrared window
JCGM,Joint Committee for Guides in Metrology
JMR,JASON-1 Microwave Radiometer
LRM, low-resolution mode
MMCC,Mission Management Control Centre
MWR,microwave radiometer
NOF,normalized objective function
OBC,on-board calibration
OCOG,offset centre of gravity
PRF,pulse repetition frequency
PRT,platinum resistance temperature
PTR,pulse target response
RDR,raw data record
RED,redundancy
RF,radio frequency
RFSS,radio frequency subsystem
SAR,synthetic aperture radar
SDR,sensor data record
SSI,surface solar irradiance
SWH,significant wave height
WV,water vapour
TROPICS,Time-Resolved Observations of Precipitation structure and storm Intensity with a Constellation of Smallsats
ADC,Analog-to-digital converter
ASCAT,Advanced Scatterometer
DEM,Digital elevation model
EOP,Earth orientation parameters
EPS-SG,EUMETSAT Polar System – Second Generation
EUMETSAT,European Organisation for the Exploitation of Meteorological Satellites
FOVs,Fields of view
IERS,International Earth Rotation Service
L0,Level 0 (raw data)
L2,Level 2 (geophysical data)
LOS,Line of sight
LSM,Landform segmentation model
MR,Main reflector
NAVATT,Navigation and attitude data
NEDT,Nose equivalent delta temperature
NEdT,Nose equivalent delta temperature
NEΔT,Nose equivalent delta temperature
OBCT,On board calibration target
PCS,Principle component scores
PRT,Platinum resistance thermometer
RAD,Radiances
RFI,Radio frequency interference
RMS,Root mean square
THM,Thermistor
TM,Telemetry
TWV,IASI-NG temperature and humidity profiles
YPR,Yaw, pitch, and roll
YSM,Yaw steering mode
MWI,Microwave Imager
ICI,Ice Cloud Imager
MWS,Microwave Sounder
SCA,Scatterometer
IASI-NG,Infrared Atmospheric Sounding Interferometer - New Generation 
SZF,Resampled at full resolution
SZR,Resampled at 12.5 km swath grid
