"No","Category","CategoryOfSequences_en","FXY1","Title_en","SubTitle_en","FXY2","ElementName_en","ExistingElementName_en","Note_en","Status"
1.00,"00","CREX table entries sequences","D00002",,,"B00002","Table A: data category description, line 1","Table A category, line 1",,"Operational"
2.00,"00","CREX table entries sequences","D00002",,,"B00003","Table A: data category description, line 2","Table A category, line 2",,"Operational"
3.00,"00","CREX table entries sequences","D00003","(F, X, Y of descriptor to be added or defined)",,"B00010","F descriptor to be added or defined","F, part descriptor",,"Operational"
4.00,"00","CREX table entries sequences","D00003","(F, X, Y of descriptor to be added or defined)",,"B00011","X descriptor to be added or defined","X, part descriptor",,"Operational"
5.00,"00","CREX table entries sequences","D00003","(F, X, Y of descriptor to be added or defined)",,"B00012","Y descriptor to be added or defined","Y, part descriptor",,"Operational"
6.00,"00","CREX table entries sequences","D00004",,,"D00003","F, X, Y of descriptor to be added or defined",,,"Operational"
7.00,"00","CREX table entries sequences","D00004",,,"B00013","Element name, line 1","Element name, line 1",,"Operational"
8.00,"00","CREX table entries sequences","D00004",,,"B00014","Element name, line 2","Element name, line 2",,"Operational"
9.00,"00","CREX table entries sequences","D00004",,,"B00015","Units name","Units name",,"Operational"
10.00,"00","CREX table entries sequences","D00004",,,"B00016","Units scale sign","Units scale sign",,"Operational"
11.00,"00","CREX table entries sequences","D00004",,,"B00017","Units scale","Units scale",,"Operational"
12.00,"00","CREX table entries sequences","D00004",,,"B00018","Units reference sign","Units reference sign",,"Operational"
13.00,"00","CREX table entries sequences","D00004",,,"B00019","Units reference value","Units reference value",,"Operational"
14.00,"00","CREX table entries sequences","D00004",,,"B00020","Element data width","Element data width",,"Operational"
19.00,"00","CREX table entries sequences","D00010",,,"D00003","F, X, Y of descriptor to be added or defined","Table D descriptor to be defined",,"Operational"
20.00,"00","CREX table entries sequences","D00010",,,"R01000","Delayed replication of 1 descriptor","Delayed replication of 1 descriptor",,"Operational"
21.00,"00","CREX table entries sequences","D00010",,,"B00030","Descriptor defining sequence","Descriptor defining sequence",,"Operational"
34.00,"01","Location and identification sequences","D01001","(WMO block and station numbers)",,"B01001","WMO block number","WMO block number",,"Operational"
35.00,"01","Location and identification sequences","D01001","(WMO block and station numbers)",,"B01002","WMO station number","WMO station number",,"Operational"
36.00,"01","Location and identification sequences","D01002",,,"B01003","WMO Region number/geographical area","WMO Region number",,"Operational"
37.00,"01","Location and identification sequences","D01002",,,"B01004","WMO Region sub-area","WMO Region sub-area",,"Operational"
38.00,"01","Location and identification sequences","D01002",,,"B01005","Buoy/platform identifier","Buoy/platform identifier",,"Operational"
39.00,"01","Location and identification sequences","D01003","(Ship's call sign and motion)",,"B01011","Ship or mobile land station identifier","Ship's call sign",,"Operational"
40.00,"01","Location and identification sequences","D01003","(Ship's call sign and motion)",,"B01012","Direction of motion of moving observing platform","Direction of motion of moving observing platform",,"Operational"
41.00,"01","Location and identification sequences","D01003","(Ship's call sign and motion)",,"B01013","Speed of motion of moving observing platform","Speed of motion of moving observing platform",,"Operational"
42.00,"01","Location and identification sequences","D01004","(Surface station identification)",,"B01001","WMO block number","WMO block number",,"Operational"
43.00,"01","Location and identification sequences","D01004","(Surface station identification)",,"B01002","WMO station number","WMO station number",,"Operational"
44.00,"01","Location and identification sequences","D01004","(Surface station identification)",,"B01015","Station or site name","Station or site name",,"Operational"
45.00,"01","Location and identification sequences","D01004","(Surface station identification)",,"B02001","Type of station","Type of station",,"Operational"
46.00,"01","Location and identification sequences","D01005","(Originating centre/sub-centre)",,"B01035","Originating centre","Originating centre",,"Operational"
47.00,"01","Location and identification sequences","D01005","(Originating centre/sub-centre)",,"B01034","Identification of originating/generating sub-centre","Identification of originating/generating sub-centre",,"Operational"
48.00,"01","Location and identification sequences","D01011","(Year, month, day)",,"B04001","Year","Year",,"Operational"
49.00,"01","Location and identification sequences","D01011","(Year, month, day)",,"B04002","Month","Month",,"Operational"
50.00,"01","Location and identification sequences","D01011","(Year, month, day)",,"B04003","Day","Day",,"Operational"
51.00,"01","Location and identification sequences","D01012","(Hour, minute)",,"B04004","Hour","Hour",,"Operational"
52.00,"01","Location and identification sequences","D01012","(Hour, minute)",,"B04005","Minute","Minute",,"Operational"
53.00,"01","Location and identification sequences","D01013","(Hour, minute, second)",,"B04004","Hour","Hour",,"Operational"
54.00,"01","Location and identification sequences","D01013","(Hour, minute, second)",,"B04005","Minute","Minute",,"Operational"
55.00,"01","Location and identification sequences","D01013","(Hour, minute, second)",,"B04006","Second","Second",,"Operational"
56.00,"01","Location and identification sequences","D01014","(Time period)",,"R02002","Replicate 2 descriptors 2 times","Replication of 2 descriptors 2 times",,"Operational"
57.00,"01","Location and identification sequences","D01014","(Time period)",,"D01011","Year, month, day","Year, month, day",,"Operational"
